ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
1,female,100000,carried,1,4,0,75,30,330,often,good,380,0,0,0,0,90,136.01,4,7
2,male,50000,delivered,1,4,0,75,45,165,often,good,210,0,0,0,0,50,349.69,2,7
3,male,85000,delivered,1,3,0,75,20,450,not_often,good,500,0,0,0,0,120,335.43,7,7
4,female,80000,delivered,1,5,0,75,45,165,often,fair,210,0,0,0,0,50,310.44,2,7
5,male,75000,delivered,1,4,0,75,30,285,often,fair,330,0,0,0,0,80,276.74,0,7
6,male,50000,carried,1,4,0,75,45,330,often,good,380,0,0,0,0,50,224.96,2,7
7,male,75000,carried,1,4,0,75,30,150,not_often,fair,200,0,0,0,0,80,167.03,4,7
8,male,75000,carried,1,6,0,75,40,210,not_often,good,260,0,0,0,0,60,122.1,3,7
9,male,75000,carried,1,6,0,75,45,165,not_often,fair,210,0,0,0,0,50,107.42,3,7
10,male,75000,carried,1,6,0,75,40,400,often,fair,450,0,0,0,0,60,151.09,3,7
11,male,75000,carried,1,3,0,75,20,200,not_often,good,250,0,0,0,0,120,249,1,7
12,female,75000,carried,1,6,0,75,40,210,not_often,good,260,0,0,0,0,60,290,8,7
13,male,75000,carried,1,3,0,75,35,285,not_often,fair,330,0,0,0,0,80,266.37,6,7
14,female,75000,delivered,1,5,0,75,40,165,not_often,fair,210,0,0,0,0,50,238.1,3,7
15,female,75000,carried,1,4,0,75,60,120,often,fair,170,0,0,0,0,40,203.82,0,7
16,male,75000,carried,1,4,0,75,30,285,often,fair,330,0,0,0,0,80,156.35,2,7
17,male,75000,carried,1,3,0,75,35,285,often,fair,330,0,0,0,0,80,104.85,2,7
18,female,45000,carried,1,5,0,75,40,165,often,fair,210,0,0,0,0,50,76.55,1,7
19,female,40000,carried,1,4,0,75,60,280,not_often,good,330,0,0,0,0,40,52.61,2,7
20,male,105000,carried,1,3,0,75,25,450,often,good,500,0,0,0,0,120,126.21,1,7
21,male,100000,carried,1,6,0,75,40,300,not_often,fair,350,0,0,0,0,60,189.99,0,7
22,male,105000,delivered,1,6,0,75,35,210,not_often,fair,260,0,0,0,0,60,251.53,7,7
23,male,50000,delivered,1,4,0,75,45,165,often,fair,210,0,0,0,0,50,240.93,7,7
24,male,45000,delivered,1,3,0,75,25,285,often,good,330,0,0,0,0,80,207.39,5,7
25,female,65000,carried,1,5,0,75,45,380,often,fair,430,0,0,0,0,50,182.72,2,7
26,female,50000,carried,1,3,0,75,25,285,not_often,good,330,0,0,0,0,80,112.16,0,7
27,female,105000,carried,1,3,0,75,20,450,not_often,good,500,0,0,0,0,120,56.3,1,7
28,female,40000,carried,1,4,0,75,50,120,not_often,fair,170,0,0,0,0,40,30.41,1,7
29,female,40000,carried,1,3,0,75,25,200,often,good,250,0,0,0,0,80,74.43,2,7
