ID,Gender,Education,Household income,Household size,Method,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
1,female,4,200000,6,inyard,0,75,3,405,often,good,500,1,1,1,2,110,0,0,0
2,female,3,250000,4,inyard,0,75,4,450,often,good,500,1,1,1,1,150,0,0,0
3,male,4,300000,8,inyard,0,75,2,210,not_often,good,300,1,1,1,1,60,0,0,0
4,female,3,350000,5,waterboard,0,75,4,360,often,fair,400,1,1,1,1,100,0,0,0
5,female,2,400000,4,waterboard,0,75,3,550,often,fair,600,1,1,1,1,200,0,0,0
6,male,4,450000,8,inyard,0,75,4,240,often,good,300,1,1,1,1,70,0,0,0
7,female,2,200000,4,waterboard,0,75,3,550,not_often,fair,600,1,1,1,2,170,0,0,0
8,male,3,250000,6,delivered,0,75,4,360,not_often,good,400,1,1,0,1,100,0,0,0
9,female,3,300000,6,waterboard,0,75,4,500,not_often,fair,600,1,1,1,1,120,0,0,0
10,male,4,350000,6,waterboard,0,75,4,380,often,fair,400,1,1,1,1,130,0,0,0
11,female,4,250000,6,waterboard,0,75,2,405,not_often,good,500,1,1,1,1,110,0,0,0
12,female,3,300000,6,waterboard,0,75,4,360,not_often,good,400,1,1,1,1,100,0,0,0
13,male,4,350000,8,inyard,0,75,3,240,not_often,fair,300,1,1,1,0,70,0,0,0
14,female,3,400000,5,waterboard,0,75,4,450,not_often,fair,500,1,1,1,1,120,0,0,0
15,female,2,450000,4,delivered,0,75,6,700,often,fair,800,1,1,1,1,150,0,0,0
16,male,4,200000,3,waterboard,0,75,3,600,often,fair,700,1,1,1,1,200,0,0,0
17,female,4,450000,5,waterboard,0,75,3,525,often,fair,600,1,1,1,1,140,0,0,0
18,male,3,200000,4,waterboard,0,75,4,570,often,fair,600,0,0,0,0,150,0,0,0
19,female,4,250000,8,waterboard,0,75,6,330,not_often,good,400,1,1,1,1,90,0,0,0
