ID,Household income,Household size,Rainfall,Average temperature,Travel time,Shortest distance,Height diff,Volume consumed in a month in liters,Volume consumed in lpcd,Amount spent,willingness to pay
1,100000,4,0,75,20,136.01,4,5580,40,9000,9000
2,50000,4,0,75,50,349.69,2,3100,20,4000,5000
3,85000,3,0,75,20,335.43,7,5580,60,9000,9000
4,80000,5,0,75,35,310.44,2,4340,20,8000,8500
5,75000,4,0,75,30,276.74,0,4960,40,7000,7500
6,50000,4,0,75,45,224.96,2,3100,20,4000,5000
7,75000,4,0,75,30,167.03,4,4960,40,7000,7500
8,75000,6,0,75,20,122.1,3,5580,30,9000,9000
9,75000,4,0,75,30,107.42,3,4960,40,7000,7500
10,75000,6,0,75,20,151.09,3,6200,30,10000,10000
11,75000,3,0,75,20,249,1,5580,60,9000,9000
12,75000,6,0,75,20,290,8,5580,30,9000,9000
13,75000,3,0,75,35,266.37,6,3720,40,5000,5500
14,75000,5,0,75,40,238.1,3,4340,20,8000,8500
15,75000,4,0,75,60,203.82,0,2480,20,3000,3500
16,75000,4,0,75,30,156.35,2,4960,40,7000,7500
17,75000,3,0,75,40,104.85,2,3720,40,5000,5500
18,45000,5,0,75,40,76.55,1,4340,20,8000,8500
19,40000,4,0,75,60,52.61,2,2480,20,3000,2000
20,105000,3,0,75,20,126.21,1,5580,60,9000,9000
21,100000,6,0,75,20,189.99,0,6200,30,10000,10000
22,105000,6,0,75,20,251.53,7,5580,30,9000,9000
23,50000,4,0,75,50,240.93,7,3100,20,4000,5000
24,45000,3,0,75,40,207.39,5,3720,40,5000,5500
25,65000,5,0,75,35,182.72,2,4340,20,8000,8500
26,50000,3,0,75,40,112.16,0,3720,40,5000,5500
27,105000,3,0,75,20,56.3,1,5580,60,9000,9000
28,40000,4,0,75,60,30.41,1,2480,20,3000,3500
29,40000,3,0,75,40,74.43,2,3720,40,5000,5500
30,40000,4,0,75,60,141.01,2,2480,20,3000,3500
31,40000,4,0,75,60,144.28,3,2480,20,3000,2500
32,40000,4,0,75,30,167.93,5,4960,40,7000,7500
33,40000,4,0,75,30,67.2,4,4960,40,7000,7500
34,40000,3,0,75,20,93.52,5,6200,60,10000,10000
35,40000,4,0,75,60,102.07,5,2480,20,3000,3500
36,40000,5,0,75,40,60.88,2,4340,20,8000,8500
37,40000,3,0,75,20,87,0,5580,60,9000,9000
38,40000,4,0,75,30,92.91,3,4960,40,7000,7500
39,100000,4,0,75,30,126.53,3,4960,40,7000,7500
40,60000,3,0,75,40,167.06,6,3720,40,5000,5500
41,45000,3,0,75,35,206.46,6,3720,40,5000,4500
42,60000,3,0,75,40,193.83,6,3720,40,5000,5500
43,40000,4,0,75,60,188.4,4,2480,20,3000,3500
44,60000,3,0,75,35,139.45,4,3720,40,5000,5500
45,65000,4,0,75,30,74.4,3,4960,40,7000,7500
46,100000,4,0,75,20,35.36,1,6200,50,10000,10000
47,70000,5,0,75,40,51.62,1,4340,20,8000,8500
48,100000,6,0,75,20,90.8,1,6200,30,10000,10000
49,85000,6,0,75,20,136.56,2,5580,30,9000,9000
50,100000,6,0,75,20,150.72,4,6200,30,10000,10000
51,90000,6,0,75,20,102.08,1,6200,30,10000,10000
52,105000,6,0,75,20,114.39,3,5580,30,9000,9000
53,75000,4,0,75,30,139.29,4,4960,40,7000,7500
54,75000,4,0,75,45,188.53,3,3100,20,4000,4500
55,75000,6,0,75,20,189.11,3,5580,30,9000,9000
56,75000,4,0,75,30,151.82,3,4960,40,7000,7500
57,75000,5,0,75,40,98.27,3,4340,20,8000,8500
58,75000,3,0,75,20,66.1,3,5580,60,9000,9000
59,75000,3,0,75,40,54.04,2,4340,40,8000,8500
60,75000,3,0,75,35,37.12,1,3720,40,5000,5500
61,80000,4,0,75,30,77.16,2,4960,40,7000,7500
62,40000,4,0,75,60,118.44,2,2480,20,3000,3000
63,75000,4,0,75,30,176.82,3,4960,40,7000,7500
64,40000,4,0,75,50,235.36,6,3100,20,4000,5000
65,45000,3,0,75,40,254.87,7,3720,40,5000,5500
66,90000,6,0,75,20,296.1,9,6200,30,10000,10000
67,50000,4,0,75,50,207.2,5,3100,20,4000,5000
68,60000,3,0,75,40,238.32,6,3720,40,5000,5500
69,60000,4,0,75,50,197.28,5,3100,20,4000,5000
70,60000,6,0,75,20,228.64,6,5580,30,9000,9000
71,60000,4,0,75,60,237.98,6,2480,20,3000,2500
72,60000,5,0,75,40,197.31,5,4340,20,8000,8500
73,60000,3,0,75,40,209.4,5,3720,40,5000,5500
74,60000,4,0,75,30,261.01,6,4960,40,7000,7500
75,65000,5,0,75,40,234.85,6,4340,20,8000,8500
76,70000,4,0,75,30,281.32,4,4960,40,7000,7500
