ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd
1,female,100000,carried,1,4,0,75,30,330,often,good,380,0,0,0,0,90
2,male,50000,delivered,1,4,0,75,45,165,often,good,210,0,0,0,0,50
3,male,85000,delivered,1,3,0,75,20,450,not_often,good,500,0,0,0,0,120
4,female,80000,delivered,1,5,0,75,45,165,often,fair,210,0,0,0,0,50
5,male,75000,delivered,1,4,0,75,30,285,often,fair,330,0,0,0,0,80
6,male,50000,carried,1,4,0,75,45,330,often,good,380,0,0,0,0,50
7,male,75000,carried,1,4,0,75,30,150,not_often,fair,200,0,0,0,0,80
8,male,75000,carried,1,6,0,75,40,210,not_often,good,260,0,0,0,0,60
9,male,75000,carried,1,6,0,75,45,165,not_often,fair,210,0,0,0,0,50
10,male,75000,carried,1,6,0,75,40,400,often,fair,450,0,0,0,0,60
11,male,75000,carried,1,3,0,75,20,200,not_often,good,250,0,0,0,0,120
12,female,75000,carried,1,6,0,75,40,210,not_often,good,260,0,0,0,0,60
13,male,75000,carried,1,3,0,75,35,285,not_often,fair,330,0,0,0,0,80
14,female,75000,delivered,1,5,0,75,40,165,not_often,fair,210,0,0,0,0,50
15,female,75000,carried,1,4,0,75,60,120,often,fair,170,0,0,0,0,40
16,male,75000,carried,1,4,0,75,30,285,often,fair,330,0,0,0,0,80
17,male,75000,carried,1,3,0,75,35,285,often,fair,330,0,0,0,0,80
18,female,45000,carried,1,5,0,75,40,165,often,fair,210,0,0,0,0,50
19,female,40000,carried,1,4,0,75,60,280,not_often,good,330,0,0,0,0,40
20,male,105000,carried,1,3,0,75,25,450,often,good,500,0,0,0,0,120
21,male,100000,carried,1,6,0,75,40,300,not_often,fair,350,0,0,0,0,60
22,male,105000,delivered,1,6,0,75,35,210,not_often,fair,260,0,0,0,0,60
23,male,50000,delivered,1,4,0,75,45,165,often,fair,210,0,0,0,0,50
24,male,45000,delivered,1,3,0,75,25,285,often,good,330,0,0,0,0,80
25,female,65000,carried,1,5,0,75,45,380,often,fair,430,0,0,0,0,50
26,female,50000,carried,1,3,0,75,25,285,not_often,good,330,0,0,0,0,80
27,female,105000,carried,1,3,0,75,20,450,not_often,good,500,0,0,0,0,120
28,female,40000,carried,1,4,0,75,50,120,not_often,fair,170,0,0,0,0,40
29,female,40000,carried,1,3,0,75,25,200,often,good,250,0,0,0,0,80
30,male,40000,carried,1,4,0,75,60,120,not_often,good,170,0,0,0,0,40
31,male,40000,carried,1,4,0,75,60,360,often,fair,410,0,0,0,0,40
32,male,40000,delivered,1,4,0,75,65,90,often,good,140,0,0,0,0,30
33,female,40000,carried,1,4,0,75,40,210,not_often,good,260,0,0,0,0,60
34,male,40000,delivered,1,3,0,75,30,120,often,good,170,0,0,0,0,90
35,female,40000,delivered,1,4,0,75,50,120,often,fair,170,0,0,0,1,40
36,female,40000,delivered,1,5,0,75,55,280,not_often,good,330,0,0,0,0,40
37,male,40000,carried,1,3,0,75,35,240,not_often,good,290,0,0,0,0,70
38,male,40000,delivered,1,4,0,75,45,165,not_often,fair,210,0,0,0,0,50
39,male,100000,delivered,1,4,0,75,50,120,often,good,170,0,0,0,0,40
40,male,60000,delivered,1,3,0,75,55,300,often,good,350,0,0,0,0,40
41,female,45000,delivered,1,3,0,75,65,120,often,fair,170,0,0,0,0,30
42,female,60000,delivered,1,3,0,75,70,260,not_often,fair,310,0,0,0,0,30
43,female,40000,delivered,1,4,0,75,65,120,often,good,170,0,0,0,0,30
44,female,60000,delivered,1,3,0,75,60,120,not_often,good,170,0,0,0,0,40
45,female,65000,carried,1,4,0,75,40,180,not_often,fair,230,0,0,0,0,60
46,male,100000,carried,1,4,0,75,25,360,not_often,fair,410,0,0,0,0,100
47,male,70000,carried,1,5,0,75,25,285,often,fair,330,0,0,0,0,80
48,female,100000,carried,1,6,0,75,55,240,often,good,290,0,0,0,0,40
49,female,85000,delivered,1,6,0,75,50,120,not_often,fair,170,0,0,0,0,20
50,female,100000,delivered,1,6,0,75,65,300,not_often,fair,350,0,0,0,0,20
51,female,90000,delivered,1,6,0,75,75,120,often,fair,170,0,0,0,0,30
52,female,105000,delivered,1,6,0,75,50,240,often,good,290,0,0,0,0,30
53,female,75000,delivered,1,4,0,75,60,120,often,fair,170,0,0,0,0,40
54,female,75000,delivered,1,4,0,75,75,120,not_often,good,170,0,0,0,0,30
55,female,75000,delivered,1,6,0,75,50,200,not_often,fair,250,0,0,0,0,20
56,female,75000,delivered,1,4,0,75,70,120,not_often,good,170,0,0,0,0,30
57,female,75000,delivered,1,5,0,75,60,310,not_often,fair,360,0,0,0,0,40
58,female,75000,carried,1,3,0,75,35,285,often,fair,330,0,0,0,0,80
59,female,75000,delivered,1,3,0,75,30,330,often,fair,380,0,0,0,0,90
60,female,75000,carried,1,3,0,75,25,280,often,fair,330,0,0,0,0,100
61,female,80000,delivered,1,4,0,75,40,210,often,good,260,0,0,0,0,60
62,female,40000,delivered,1,4,0,75,45,165,not_often,good,210,0,0,0,0,50
63,female,75000,delivered,1,4,0,75,50,165,not_often,very good,210,0,0,0,0,30
64,female,40000,delivered,1,4,0,75,90,100,not_often,very good,150,0,0,0,0,20
65,female,45000,delivered,1,3,0,75,130,165,often,very good,210,0,0,0,0,20
66,female,90000,delivered,1,6,0,75,120,165,often,good,210,0,0,0,0,10
67,female,50000,carried,1,4,0,75,50,200,often,good,250,0,0,0,0,30
68,female,60000,carried,1,3,0,75,75,165,often,good,210,0,0,0,0,30
69,female,60000,delivered,1,4,0,75,70,165,often,good,210,0,0,0,0,30
70,female,60000,delivered,1,6,0,75,120,310,often,good,360,0,0,0,0,10
71,female,60000,delivered,1,4,0,75,120,165,not_often,fair,210,0,0,0,0,10
72,female,60000,delivered,1,5,0,75,130,165,not_often,fair,210,0,0,0,0,20
73,female,60000,delivered,1,3,0,75,60,120,often,fair,170,0,0,0,0,40
74,female,60000,delivered,1,4,0,75,130,280,often,fair,330,0,0,0,0,20
75,female,65000,delivered,1,5,0,75,90,120,often,good,170,0,0,0,0,20
76,female,70000,delivered,1,4,0,75,130,120,not_often,good,170,0,0,0,0,20
77,female,40000,delivered,1,4,0,75,120,300,not_often,fair,350,0,0,0,0,10
78,female,45000,delivered,1,3,0,75,130,120,not_often,good,170,0,0,0,0,20
79,female,95000,delivered,1,6,0,75,120,120,often,fair,170,0,0,0,0,10
80,female,105000,delivered,1,4,0,75,120,120,often,good,170,0,0,0,0,10
81,female,75000,delivered,1,6,0,75,113,180,not_often,good,230,0,0,0,0,10
82,female,60000,delivered,1,3,0,75,130,120,often,fair,170,0,0,0,0,20
83,female,105000,delivered,1,3,0,75,130,120,often,good,170,0,0,0,0,20
84,female,95000,delivered,1,6,0,75,120,220,not_often,fair,270,0,0,0,0,10
85,female,80000,delivered,1,4,0,75,130,120,not_often,fair,170,0,0,0,0,20
86,female,45000,delivered,1,3,0,75,92,120,not_often,fair,170,0,0,0,0,30
87,female,60000,delivered,1,3,0,75,92,180,often,good,230,0,0,0,0,30
88,female,85000,delivered,1,6,0,75,122,120,often,good,170,0,0,0,0,10
89,female,45000,delivered,1,3,0,75,62,190,often,fair,240,0,0,0,0,40
90,female,45000,delivered,1,3,0,75,62,120,not_often,good,170,0,0,0,0,40
91,female,45000,delivered,1,4,0,75,55,165,not_often,good,210,0,0,0,0,50
92,female,45000,delivered,1,4,0,75,62,165,not_often,good,210,0,0,0,0,40
93,female,45000,delivered,1,6,0,75,132,100,not_often,fair,150,0,0,0,0,20
94,female,45000,delivered,1,6,0,75,132,165,often,fair,210,0,0,0,0,20
95,female,45000,delivered,1,6,0,75,135,120,not_often,very good,170,0,0,0,0,20
96,female,45000,delivered,1,3,0,75,62,165,not_often,very good,210,0,0,0,0,40
97,female,45000,delivered,1,4,0,75,92,165,often,very good,210,0,0,0,0,30
98,female,50000,delivered,1,4,0,75,55,200,not_often,fair,250,0,0,0,0,50
99,female,80000,delivered,1,4,0,75,92,165,not_often,fair,210,0,0,0,0,30
100,female,70000,delivered,1,5,0,75,25,285,often,fair,330,0,0,0,0,80
101,female,85000,delivered,1,6,0,75,32,240,often,good,290,0,0,0,0,70
102,female,105000,delivered,1,3,0,75,13,480,often,fair,300,0,0,0,0,130
103,female,40000,delivered,1,4,0,75,42,285,not_often,fair,330,0,0,0,0,80
104,female,65000,delivered,1,5,0,75,62,210,often,fair,260,0,0,0,0,60
105,female,85000,delivered,1,6,0,75,65,165,not_often,fair,210,0,0,0,0,50
106,female,60000,delivered,1,3,0,75,25,405,not_often,good,450,0,0,0,0,110
107,female,75000,delivered,1,4,0,75,25,200,not_often,very good,250,0,0,0,0,80
108,female,55000,delivered,1,5,0,75,25,285,not_often,fair,330,0,0,0,0,80
109,female,95000,delivered,1,6,0,75,42,210,often,good,260,0,0,0,0,60
110,female,75000,delivered,1,4,0,75,32,330,not_often,good,380,0,0,0,0,90
111,female,85000,delivered,1,6,0,75,52,165,not_often,fair,210,0,0,0,0,50
112,female,85000,delivered,1,4,0,75,42,240,not_often,fair,290,0,0,0,0,70
113,female,85000,delivered,1,3,0,75,25,360,not_often,good,410,0,0,0,0,100
114,female,85000,carried,1,4,0,75,25,405,often,good,450,0,0,0,0,110
115,female,85000,delivered,1,5,0,75,22,450,often,fair,500,0,0,0,0,120
116,female,85000,delivered,1,5,0,75,52,210,often,fair,260,0,0,0,0,60
117,female,85000,carried,1,4,0,75,35,220,not_often,good,270,0,0,0,0,100
118,female,85000,carried,1,5,0,75,32,285,not_often,good,330,0,0,0,0,80
119,female,100000,delivered,1,3,0,75,25,180,not_often,good,230,0,0,0,0,100
120,female,80000,delivered,1,6,0,75,52,165,not_often,good,210,0,0,0,0,50
121,male,40000,delivered,1,4,0,75,35,285,often,fair,330,0,0,0,0,80
122,female,50000,delivered,1,4,0,75,25,360,often,fair,410,0,0,0,0,100
123,female,100000,carried,1,3,0,75,13,480,not_often,good,300,0,0,0,0,130
124,female,100000,delivered,1,4,0,75,35,220,often,good,270,0,0,0,0,80
125,female,40000,delivered,1,4,0,75,22,405,not_often,good,450,0,0,0,0,110
126,female,100000,carried,1,3,0,75,13,350,not_often,good,400,0,0,0,0,130
127,female,60000,carried,1,3,0,75,13,480,often,good,300,0,0,0,0,130
128,female,40000,carried,1,4,0,75,22,450,not_often,fair,500,0,0,0,0,120
129,female,95000,carried,1,6,0,75,42,240,often,good,290,0,0,0,0,70
130,female,45000,delivered,1,3,0,75,13,480,not_often,good,300,0,0,0,1,130
131,female,85000,carried,1,4,0,75,25,405,often,good,450,0,0,0,0,110
132,female,60000,delivered,1,3,0,75,22,450,not_often,fair,500,0,0,0,0,120
133,female,75000,delivered,1,4,0,75,15,480,often,good,300,0,0,0,0,130
134,female,80000,carried,1,4,0,75,25,300,not_often,good,350,0,0,0,0,110
135,female,95000,carried,1,6,0,75,42,240,often,fair,290,0,0,0,0,70
