ID,Household Income,Household wealth score,Household size,Rainfall for the month,Average temperature for the month,Travel time,Shortest distance,Amount spent on water in a month,Volume of water consumed in a month in liters,Volume of water consumed in lpcd,Willingness to pay
1,65000,419.3,5,250.99,74.5,20.00,134.33,10000,6300,40,9000
2,65000,419.3,5,250.99,74.5,20.00,136.01,10000,6300,40,9000
3,65000,524.1,4,250.99,74.5,20.00,166.33,10000,6300,40,9000
4,65000,419.3,5,250.99,74.5,20.00,183.36,10000,6300,40,9000
5,65000,419.3,5,250.99,74.5,20.00,198.91,10000,6300,40,9000
6,65000,524.1,4,250.99,74.5,20.00,242.47,10000,6300,40,9000
7,65000,524.1,4,250.99,74.5,20.00,260.36,10000,6300,40,9000
8,65000,419.3,5,250.99,74.5,20.00,349.69,10000,6300,40,9000
9,65000,419.3,5,250.99,74.5,20.00,362.05,10000,6300,40,9000
10,65000,524.1,4,250.99,74.5,20.00,335.43,10000,6300,40,9000
11,65000,524.1,4,250.99,74.5,20.00,337.48,10000,6300,40,9000
12,65000,419.3,5,250.99,74.5,20.00,327.00,10000,6300,40,9000
13,65000,419.3,5,250.99,74.5,20.00,322.19,10000,6300,40,9000
14,65000,698.9,3,250.99,74.5,20.00,310.44,10000,6300,40,9000
15,40000,645.1,2,250.99,74.5,10.00,276.74,6000,4100,20,8000
16,40000,430.1,3,250.99,74.5,10.00,257.80,6000,4100,20,8000
17,50000,403.2,4,250.99,74.5,10.00,242.84,6000,4100,20,8000
18,70000,451.6,5,250.99,74.5,20.00,224.96,10000,6300,40,10000
19,50000,403.2,4,250.99,74.5,10.00,185.22,6000,4100,20,8000
20,70000,451.6,5,250.99,74.5,20.00,167.03,10000,6300,40,10000
21,70000,451.6,5,250.99,74.5,20.00,158.15,10000,6300,40,10000
22,70000,451.6,5,250.99,74.5,20.00,142.39,10000,6300,40,10000
23,70000,451.6,5,250.99,74.5,20.00,122.10,10000,6300,40,10000
24,50000,403.2,4,250.99,74.5,10.00,111.63,6000,4100,20,8000
25,70000,451.6,5,250.99,74.5,20.00,107.84,10000,6300,40,10000
26,50000,403.2,4,250.99,74.5,10.00,107.42,6000,4100,20,8000
27,70000,451.6,5,250.99,74.5,20.00,80.45,10000,6300,40,10000
28,50000,403.2,4,250.99,74.5,10.00,80.09,6000,4100,20,8000
29,70000,451.6,5,250.99,74.5,20.00,84.38,10000,6300,40,10000
30,70000,564.5,4,250.99,74.5,20.00,94.26,10000,6300,40,10000
31,70000,564.5,4,250.99,74.5,20.00,117.39,10000,6300,40,10000
32,70000,451.6,5,250.99,74.5,20.00,137.30,10000,6300,40,10000
33,70000,451.6,5,250.99,74.5,20.00,151.09,10000,6300,40,10000
34,70000,564.5,4,250.99,74.5,20.00,168.68,10000,6300,40,10000
35,70000,564.5,4,250.99,74.5,20.00,212.42,10000,6300,40,10000
36,70000,451.6,5,250.99,74.5,20.00,230.05,10000,6300,40,10000
37,70000,451.6,5,250.99,74.5,20.00,249.00,10000,6300,40,10000
38,70000,451.6,5,250.99,74.5,20.00,265.87,10000,6300,40,10000
39,70000,451.6,5,250.99,74.5,20.00,284.70,10000,6300,40,10000
40,50000,403.2,4,250.99,74.5,10.00,294.06,6000,4100,20,8000
41,50000,403.2,4,250.99,74.5,10.00,301.73,6000,4100,20,8000
42,50000,322.5,5,250.99,74.5,10.00,312.96,6000,4100,20,8000
43,50000,322.5,5,250.99,74.5,10.00,290.00,6000,4100,20,8000
44,50000,322.5,5,250.99,74.5,10.00,277.42,6000,4100,20,8000
45,50000,403.2,4,250.99,74.5,10.00,270.67,6000,4100,20,8000
46,50000,322.5,5,250.99,74.5,10.00,266.37,6000,4100,20,8000
47,50000,403.2,4,250.99,74.5,10.00,260.02,6000,4100,20,8000
48,50000,403.2,4,250.99,74.5,10.00,246.95,6000,4100,20,8000
49,50000,403.2,4,250.99,74.5,10.00,238.10,6000,4100,20,8000
50,50000,322.5,5,250.99,74.5,10.00,226.91,6000,4100,20,8000
51,50000,403.2,4,250.99,74.5,10.00,219.49,6000,4100,20,8000
52,50000,322.5,5,250.99,74.5,10.00,203.82,6000,4100,20,8000
53,50000,403.2,4,250.99,74.5,10.00,156.35,6000,4100,20,8000
54,50000,403.2,4,250.99,74.5,10.00,136.36,6000,4100,20,8000
55,50000,403.2,4,250.99,74.5,10.00,122.20,6000,4100,20,8000
56,50000,403.2,4,250.99,74.5,10.00,104.85,6000,4100,20,8000
57,50000,403.2,4,250.99,74.5,10.00,76.55,6000,4100,20,8000
58,50000,403.2,4,250.99,74.5,10.00,62.07,6000,4100,20,8000
59,50000,403.2,4,250.99,74.5,10.00,52.61,6000,4100,20,8000
60,50000,403.2,4,250.99,74.5,10.00,49.65,6000,4100,20,8000
61,50000,403.2,4,250.99,74.5,10.00,19.85,6000,4100,20,8000
62,50000,403.2,4,250.99,74.5,10.00,23.77,6000,4100,20,8000
63,50000,403.2,4,250.99,74.5,10.00,40.50,6000,4100,20,8000
64,50000,403.2,4,250.99,74.5,10.00,59.41,6000,4100,20,8000
65,50000,403.2,4,250.99,74.5,10.00,87.11,6000,4100,20,8000
66,50000,403.2,4,250.99,74.5,10.00,105.26,6000,4100,20,8000
67,50000,403.2,4,250.99,74.5,10.00,126.21,6000,4100,20,8000
68,70000,451.6,5,250.99,74.5,20.00,145.80,10000,6300,40,10000
69,50000,403.2,4,250.99,74.5,10.00,189.99,6000,4100,20,8000
70,70000,451.6,5,250.99,74.5,20.00,207.69,10000,6300,40,10000
71,70000,451.6,5,250.99,74.5,20.00,213.72,10000,6300,40,10000
72,50000,403.2,4,250.99,74.5,10.00,220.58,6000,4100,20,8000
73,70000,451.6,5,250.99,74.5,20.00,234.05,10000,6300,40,10000
74,50000,403.2,4,250.99,74.5,10.00,242.91,6000,4100,20,8000
75,50000,403.2,4,250.99,74.5,10.00,251.53,6000,4100,20,8000
76,50000,403.2,4,250.99,74.5,10.00,266.55,6000,4100,20,8000
77,70000,451.6,5,250.99,74.5,20.00,252.68,10000,6300,40,10000
78,70000,451.6,5,250.99,74.5,20.00,240.93,10000,6300,40,10000
79,70000,451.6,5,250.99,74.5,20.00,225.34,10000,6300,40,10000
80,50000,403.2,4,250.99,74.5,10.00,207.39,6000,4100,20,8000
81,50000,403.2,4,250.99,74.5,10.00,196.02,6000,4100,20,8000
82,70000,451.6,5,250.99,74.5,20.00,188.38,10000,6300,40,10000
83,70000,451.6,5,250.99,74.5,20.00,182.72,10000,6300,40,10000
84,70000,451.6,5,250.99,74.5,20.00,176.38,10000,6300,40,10000
85,50000,403.2,4,250.99,74.5,10.00,112.16,6000,4100,20,8000
86,70000,451.6,5,250.99,74.5,20.00,92.48,10000,6300,40,10000
87,50000,403.2,4,250.99,74.5,10.00,56.30,6000,4100,20,8000
88,50000,403.2,4,250.99,74.5,10.00,45.61,6000,4100,20,8000
89,50000,322.5,5,250.99,74.5,10.00,9.49,6000,4100,20,8000
90,50000,322.5,5,250.99,74.5,10.00,30.41,6000,4100,20,8000
91,50000,403.2,4,250.99,74.5,10.00,41.88,6000,4100,20,8000
92,50000,322.5,5,250.99,74.5,10.00,58.82,6000,4100,20,8000
93,50000,322.5,5,250.99,74.5,10.00,74.43,6000,4100,20,8000
94,50000,403.2,4,250.99,74.5,10.00,97.08,6000,4100,20,8000
95,50000,322.5,5,250.99,74.5,10.00,141.01,6000,4100,20,8000
96,50000,403.2,4,250.99,74.5,10.00,144.28,6000,4100,20,8000
97,50000,322.5,5,250.99,74.5,10.00,161.70,6000,4100,20,8000
98,50000,322.5,5,250.99,74.5,10.00,211.26,6000,4100,20,8000
99,50000,403.2,4,250.99,74.5,10.00,185.54,6000,4100,20,8000
100,50000,403.2,4,250.99,74.5,10.00,167.93,6000,4100,20,8000
101,50000,322.5,5,250.99,74.5,10.00,147.23,6000,4100,20,8000
102,50000,403.2,4,250.99,74.5,10.00,134.00,6000,4100,20,8000
103,50000,322.5,5,250.99,74.5,10.00,132.01,6000,4100,20,8000
104,50000,322.5,5,250.99,74.5,10.00,128.04,6000,4100,20,8000
105,50000,322.5,5,250.99,74.5,10.00,108.78,6000,4100,20,8000
106,50000,322.5,5,250.99,74.5,10.00,83.22,6000,4100,20,8000
107,50000,403.2,4,250.99,74.5,10.00,74.30,6000,4100,20,8000
108,50000,322.5,5,250.99,74.5,10.00,67.20,6000,4100,20,8000
109,50000,322.5,5,250.99,74.5,10.00,62.17,6000,4100,20,8000
110,50000,322.5,5,250.99,74.5,10.00,93.52,6000,4100,20,8000
111,70000,451.6,5,250.99,74.5,20.00,97.62,10000,6300,40,10000
112,70000,451.6,5,250.99,74.5,20.00,102.07,10000,6300,40,10000
113,50000,403.2,4,250.99,74.5,10.00,107.35,6000,4100,20,8000
114,70000,451.6,5,250.99,74.5,20.00,60.88,10000,6300,40,10000
115,50000,403.2,4,250.99,74.5,10.00,106.02,6000,4100,20,8000
116,70000,451.6,5,250.99,74.5,20.00,87.00,10000,6300,40,10000
117,70000,451.6,5,250.99,74.5,20.00,92.91,10000,6300,40,10000
118,70000,451.6,5,250.99,74.5,20.00,112.15,10000,6300,40,10000
119,50000,403.2,4,250.99,74.5,10.00,126.53,6000,4100,20,8000
120,70000,451.6,5,250.99,74.5,20.00,149.37,10000,6300,40,10000
121,50000,403.2,4,250.99,74.5,10.00,167.06,6000,4100,20,8000
122,70000,451.6,5,250.99,74.5,20.00,187.52,10000,6300,40,10000
123,70000,451.6,5,250.99,74.5,20.00,206.46,10000,6300,40,10000
124,50000,403.2,4,250.99,74.5,10.00,193.83,6000,4100,20,8000
125,70000,451.6,5,250.99,74.5,20.00,188.40,10000,6300,40,10000
126,70000,451.6,5,250.99,74.5,20.00,162.61,10000,6300,40,10000
127,70000,451.6,5,250.99,74.5,20.00,139.45,10000,6300,40,10000
128,70000,451.6,5,250.99,74.5,20.00,98.41,10000,6300,40,10000
129,70000,451.6,5,250.99,74.5,20.00,74.40,10000,6300,40,10000
130,50000,403.2,4,250.99,74.5,10.00,53.67,6000,4100,20,8000
131,70000,451.6,5,250.99,74.5,20.00,35.36,10000,6300,40,10000
132,70000,451.6,5,250.99,74.5,20.00,34.99,10000,6300,40,10000
133,70000,451.6,5,250.99,74.5,20.00,51.62,10000,6300,40,10000
134,50000,403.2,4,250.99,74.5,10.00,72.03,6000,4100,20,8000
135,50000,403.2,4,250.99,74.5,10.00,90.80,6000,4100,20,8000
136,50000,403.2,4,250.99,74.5,10.00,114.24,6000,4100,20,8000
137,50000,322.5,5,250.99,74.5,10.00,136.56,6000,4100,20,8000
138,50000,403.2,4,250.99,74.5,10.00,147.41,6000,4100,20,8000
139,50000,322.5,5,250.99,74.5,10.00,150.72,6000,4100,20,8000
140,50000,322.5,5,250.99,74.5,10.00,176.30,6000,4100,20,8000
141,50000,322.5,5,250.99,74.5,10.00,150.08,6000,4100,20,8000
142,50000,322.5,5,250.99,74.5,10.00,131.06,6000,4100,20,8000
143,50000,403.2,4,250.99,74.5,10.00,119.00,6000,4100,20,8000
144,50000,322.5,5,250.99,74.5,10.00,102.08,6000,4100,20,8000
145,50000,322.5,5,250.99,74.5,10.00,81.49,6000,4100,20,8000
146,50000,322.5,5,250.99,74.5,10.00,65.30,6000,4100,20,8000
147,50000,322.5,5,250.99,74.5,10.00,36.24,6000,4100,20,7000
148,50000,403.2,4,250.99,74.5,10.00,16.12,6000,4100,20,7000
149,50000,403.2,4,250.99,74.5,10.00,51.89,6000,4100,20,7000
150,50000,403.2,4,250.99,74.5,10.00,72.01,6000,4100,20,7000
151,50000,403.2,4,250.99,74.5,10.00,91.30,6000,4100,20,7000
152,50000,403.2,4,250.99,74.5,10.00,114.39,6000,4100,20,7000
153,50000,403.2,4,250.99,74.5,10.00,139.29,6000,4100,20,7000
154,50000,322.5,5,250.99,74.5,10.00,161.25,6000,4100,20,7000
155,50000,322.5,5,250.99,74.5,10.00,188.53,6000,4100,20,7000
156,50000,537.6,3,250.99,74.5,10.00,189.11,6000,4100,20,7000
