ID,Househol income,Household size,Rainfall,Average temp,Travel time,Shortest distance,Amount spent,Volume of water consumed in a month in liters,Volume of water consumed in lpcd,Willingness
2,65000,5,169,75,20,136,10000,6300,40,9000
8,65000,5,169,75,20,350,10000,6300,40,9000
10,65000,4,169,75,20,335,10000,6300,40,9000
14,65000,3,169,75,20,310,10000,6300,40,9000
15,40000,2,169,75,10,277,6000,4100,20,8000
18,70000,5,169,75,20,225,10000,6300,40,10000
20,70000,5,169,75,20,167,10000,6300,40,10000
23,70000,5,169,75,20,122,10000,6300,40,10000
26,50000,4,169,75,10,107,6000,4100,20,8000
33,70000,5,169,75,20,151,10000,6300,40,10000
37,70000,5,169,75,20,249,10000,6300,40,10000
43,50000,5,169,75,10,290,6000,4100,20,8000
46,50000,5,169,75,10,266,6000,4100,20,8000
49,50000,4,169,75,10,238,6000,4100,20,8000
52,50000,5,169,75,10,204,6000,4100,20,8000
53,50000,4,169,75,10,156,6000,4100,20,8000
56,50000,4,169,75,10,105,6000,4100,20,8000
57,50000,4,169,75,10,77,6000,4100,20,8000
59,50000,4,169,75,10,53,6000,4100,20,8000
67,50000,4,169,75,10,126,6000,4100,20,8000
69,50000,4,169,75,10,190,6000,4100,20,8000
75,50000,4,169,75,10,252,6000,4100,20,8000
78,70000,5,169,75,20,241,10000,6300,40,10000
80,50000,4,169,75,10,207,6000,4100,20,8000
83,70000,5,169,75,20,183,10000,6300,40,10000
85,50000,4,169,75,10,112,6000,4100,20,8000
87,50000,4,169,75,10,56,6000,4100,20,8000
90,50000,5,169,75,10,30,6000,4100,20,8000
93,50000,5,169,75,10,74,6000,4100,20,8000
95,50000,5,169,75,10,141,6000,4100,20,8000
96,50000,4,169,75,10,144,6000,4100,20,8000
100,50000,4,169,75,10,168,6000,4100,20,8000
108,50000,5,169,75,10,67,6000,4100,20,8000
110,50000,5,169,75,10,94,6000,4100,20,8000
112,70000,5,169,75,20,102,10000,6300,40,10000
114,70000,5,169,75,20,61,10000,6300,40,10000
116,70000,5,169,75,20,87,10000,6300,40,10000
117,70000,5,169,75,20,93,10000,6300,40,10000
119,50000,4,169,75,10,127,6000,4100,20,8000
121,50000,4,169,75,10,167,6000,4100,20,8000
123,70000,5,169,75,20,206,10000,6300,40,10000
124,50000,4,169,75,10,194,6000,4100,20,8000
125,70000,5,169,75,20,188,10000,6300,40,10000
127,70000,5,169,75,20,139,10000,6300,40,10000
129,70000,5,169,75,20,74,10000,6300,40,10000
131,70000,5,169,75,20,35,10000,6300,40,10000
133,70000,5,169,75,20,52,10000,6300,40,10000
135,50000,4,169,75,10,91,6000,4100,20,8000
137,50000,5,169,75,10,137,6000,4100,20,8000
139,50000,5,169,75,10,151,6000,4100,20,8000
144,50000,5,169,75,10,102,6000,4100,20,8000
152,50000,4,169,75,10,114,6000,4100,20,7000
153,50000,4,169,75,10,139,6000,4100,20,7000
155,50000,5,169,75,10,189,6000,4100,20,7000
